date,neighborhood,city,cases
2020-03-10,Acton,NA,NA
2020-03-11,Acton,NA,NA
2020-03-12,Acton,NA,NA
2020-03-13,Acton,NA,NA
2020-03-14,Acton,NA,NA
2020-03-15,Acton,NA,NA
2020-03-16,Acton,NA,NA
2020-03-17,Acton,NA,NA
2020-03-18,Acton,NA,NA
2020-03-19,Acton,NA,NA
2020-03-20,Acton,NA,NA
2020-03-21,Acton,NA,NA
2020-03-22,Acton,NA,NA
2020-03-23,Acton,NA,NA
2020-03-24,Acton,NA,NA
2020-03-25,Acton,NA,NA
2020-03-26,Acton,NA,NA
2020-03-27,Acton,Unincorporated,0
2020-03-10,Adams-Normandie,NA,NA
2020-03-11,Adams-Normandie,NA,NA
2020-03-12,Adams-Normandie,NA,NA
2020-03-13,Adams-Normandie,NA,NA
2020-03-14,Adams-Normandie,NA,NA
2020-03-15,Adams-Normandie,NA,NA
2020-03-16,Adams-Normandie,NA,NA
2020-03-17,Adams-Normandie,NA,NA
2020-03-18,Adams-Normandie,NA,NA
2020-03-19,Adams-Normandie,NA,NA
2020-03-20,Adams-Normandie,NA,NA
2020-03-21,Adams-Normandie,NA,NA
2020-03-22,Adams-Normandie,NA,NA
2020-03-23,Adams-Normandie,NA,NA
2020-03-24,Adams-Normandie,NA,NA
2020-03-25,Adams-Normandie,NA,NA
2020-03-26,Adams-Normandie,NA,NA
2020-03-27,Adams-Normandie,NA,NA
2020-03-10,Agoura Hills,NA,NA
2020-03-11,Agoura Hills,NA,NA
2020-03-12,Agoura Hills,NA,NA
2020-03-13,Agoura Hills,NA,NA
2020-03-14,Agoura Hills,NA,NA
2020-03-15,Agoura Hills,NA,NA
2020-03-16,Agoura Hills,NA,NA
2020-03-17,Agoura Hills,NA,NA
2020-03-18,Agoura Hills,NA,NA
2020-03-19,Agoura Hills,NA,NA
2020-03-20,Agoura Hills,NA,NA
2020-03-21,Agoura Hills,NA,NA
2020-03-22,Agoura Hills,NA,NA
2020-03-23,Agoura Hills,Agoura Hills,1
2020-03-24,Agoura Hills,Agoura Hills,3
2020-03-25,Agoura Hills,Agoura Hills,3
2020-03-26,Agoura Hills,Agoura Hills*,5
2020-03-27,Agoura Hills,City of Agoura Hills,6
2020-03-10,Agua Dulce,NA,NA
2020-03-11,Agua Dulce,NA,NA
2020-03-12,Agua Dulce,NA,NA
2020-03-13,Agua Dulce,NA,NA
2020-03-14,Agua Dulce,NA,NA
2020-03-15,Agua Dulce,NA,NA
2020-03-16,Agua Dulce,NA,NA
2020-03-17,Agua Dulce,NA,NA
2020-03-18,Agua Dulce,NA,NA
2020-03-19,Agua Dulce,NA,NA
2020-03-20,Agua Dulce,NA,NA
2020-03-21,Agua Dulce,NA,NA
2020-03-22,Agua Dulce,NA,NA
2020-03-23,Agua Dulce,NA,NA
2020-03-24,Agua Dulce,NA,NA
2020-03-25,Agua Dulce,NA,NA
2020-03-26,Agua Dulce,NA,NA
2020-03-27,Agua Dulce,Unincorporated,0
2020-03-10,Alhambra,NA,NA
2020-03-11,Alhambra,NA,NA
2020-03-12,Alhambra,NA,NA
2020-03-13,Alhambra,NA,NA
2020-03-14,Alhambra,NA,NA
2020-03-15,Alhambra,NA,NA
2020-03-16,Alhambra,NA,NA
2020-03-17,Alhambra,Alhambra,1
2020-03-18,Alhambra,Alhambra,1
2020-03-19,Alhambra,Alhambra,2
2020-03-20,Alhambra,Alhambra --,3
2020-03-21,Alhambra,Alhambra,3
2020-03-22,Alhambra,Alhambra,3
2020-03-23,Alhambra,Alhambra,4
2020-03-24,Alhambra,Alhambra,5
2020-03-25,Alhambra,Alhambra,6
2020-03-26,Alhambra,Alhambra,8
2020-03-27,Alhambra,City of Alhambra,8
2020-03-10,Alondra Park,NA,NA
2020-03-11,Alondra Park,NA,NA
2020-03-12,Alondra Park,NA,NA
2020-03-13,Alondra Park,NA,NA
2020-03-14,Alondra Park,NA,NA
2020-03-15,Alondra Park,NA,NA
2020-03-16,Alondra Park,NA,NA
2020-03-17,Alondra Park,NA,NA
2020-03-18,Alondra Park,NA,NA
2020-03-19,Alondra Park,NA,NA
2020-03-20,Alondra Park,NA,NA
2020-03-21,Alondra Park,NA,NA
2020-03-22,Alondra Park,NA,NA
2020-03-23,Alondra Park,NA,NA
2020-03-24,Alondra Park,NA,NA
2020-03-25,Alondra Park,NA,NA
2020-03-26,Alondra Park,NA,NA
2020-03-27,Alondra Park,NA,NA
2020-03-10,Altadena,NA,NA
2020-03-11,Altadena,NA,NA
2020-03-12,Altadena,NA,NA
2020-03-13,Altadena,NA,NA
2020-03-14,Altadena,NA,NA
2020-03-15,Altadena,NA,NA
2020-03-16,Altadena,NA,NA
2020-03-17,Altadena,Altadena,1
2020-03-18,Altadena,NA,NA
2020-03-19,Altadena,NA,NA
2020-03-20,Altadena,Altadena --,2
2020-03-21,Altadena,Altadena,3
2020-03-22,Altadena,Altadena,3
2020-03-23,Altadena,Altadena,5
