community,population
CANYON COUNTRY,25745
CASTAIC,28325
SANTA CLARITA,219356
STEVENSON RANCH,25479
LANCASTER,169552
PALMDALE,159689
LAKE LOS ANGELES,25960
ACTON,28809
BURBANK,104692
GLENDALE,201605
LA CANADA FLINTRIDGE,40253
PASADENA,174449
ALTADENA,53439
ARCADIA,56993
MONROVIA,37614
DUARTE,39704
AZUSA,65527
GLENDORA,52890
SAN DIMAS,34330
LA VERNE,35146
CLAREMONT,36850
POMONA,157108
COVINA,29406
COVINA,49131
WEST COVINA,107688
BALDWIN PARK,75833
EL MONTE,113725
TEMPLE CITY,36499
ROSEMEAD,55058
SAN GABRIEL,40311
SOUTH PASADENA,39453
ALHAMBRA,86706
MONTEREY PARK,61121
EAST LOS ANGELES,126985
MONTEBELLO,63731
SOUTH EL MONTE,32030
BASSETT,39491
LA PUENTE,40378
VALINDA,43986
WALNUT,30067
DIAMOND BAR,57127
ROWLAND HEIGHTS,50863
HACIENDA HEIGHTS,54634
PICO RIVERA,64052
WHITTIER,99118
LA MIRADA,54602
SOUTH WHITTIER,63072
WEST WHITTIER/LOS NIETOS,45219
NORWALK,104868
DOWNEY,113811
MAYWOOD,41472
BELL,36596
HUNTINGTON PARK,59508
FLORENCE-FIRESTONE,81770
SOUTH GATE,99739
BELL GARDENS,67342
LYNWOOD,72189
PARAMOUNT,56225
BELLFLOWER,76060
CERRITOS,66654
LAKEWOOD,106281
LONG BEACH,483934
COMPTON,118259
WILLOWBROOK,43095
CARSON,118244
RANCHO PALOS VERDES,42908
LOMITA,45781
TORRANCE,146686
REDONDO BEACH,69316
MANHATTAN BEACH,54881
EL SEGUNDO,26864
HAWTHORNE,114032
LAWNDALE,42232
GARDENA,60679
ATHENS-WESTMONT,41642
INGLEWOOD,116359
CULVER CITY,56391
SANTA MONICA,93410
BEVERLY HILLS,34652
SAN PEDRO,79805
WILMINGTON,57279
HARBOR CITY,31263
HARBOR GATEWAY,43700
CENTURY PALMS/COVE,42829
WATTS,43908
VERMONT VISTA,63401
FLORENCE-FIRESTONE,48852
VERMONT KNOLLS,36831
HARVARD PARK,39646
HYDE PARK,32712
WESTCHESTER,50798
PLAYA VISTA,27092
DEL REY,29258
VENICE,34136
MAR VISTA,41891
PALMS,45160
CENTURY CITY,28076
BEVERLYWOOD,27910
CRESTVIEW,25678
PARK LA BREA,27005
MIRACLE MILE,34069
CLOVERDALE/COCHRAN,28768
CRENSHAW DISTRICT,29977
BALDWIN HILLS,29994
LEIMERT PARK,28318
WEST VERNON,61940
EXPOSITION PARK,45190
SOUTH PARK,39093
VERNON CENTRAL,54121
CENTRAL,39107
WHOLESALE DISTRICT,38191
BOYLE HEIGHTS,87247
LINCOLN HEIGHTS,33052
EL SERENO,45030
HIGHLAND PARK,48168
EAGLE ROCK,39175
GLASSELL PARK,31385
MT. WASHINGTON,34192
ECHO PARK,30710
DOWNTOWN,27488
UNIVERSITY PARK,35410
WEST ADAMS,28121
HARVARD HEIGHTS,26967
PICO-UNION,42603
WESTLAKE,58683
WILSHIRE CENTER,51463
LITTLE BANGLADESH,29070
KOREATOWN,52603
HANCOCK PARK,31829
MELROSE,77634
EAST HOLLYWOOD,29790
SILVERLAKE,43188
TEMPLE-BEAUDRY,53142
LOS FELIZ,53290
HOLLYWOOD,64944
HOLLYWOOD HILLS,28875
STUDIO CITY,32881
VALLEY GLEN,53274
NORTH HOLLYWOOD,151354
SUN VALLEY,55192
TUJUNGA,28196
SUNLAND,38465
PACOIMA,79940
SAN FERNANDO,48440
SYLMAR,82749
GRANADA HILLS,57975
NORTH HILLS,60919
PANORAMA CITY,76007
ARLETA,35111
VAN NUYS,92856
SHERMAN OAKS,84967
BRENTWOOD,51891
WESTWOOD,54421
WEST LOS ANGELES,38159
PACIFIC PALISADES,27767
ENCINO,42533
LAKE BALBOA,41661
NORTHRIDGE,67755
PORTER RANCH,33206
CHATSWORTH,36039
WEST HILLS,41543
CANOGA PARK,63694
WINNETKA,55773
RESEDA,75758
TARZANA,30227
WOODLAND HILLS,64543
CALABASAS,26051
AGOURA HILLS,29523
SANTA MONICA MOUNTAINS,31552
AVALON,4034
WEST HOLLYWOOD,35798
