region,community,cases,date
AGOURA HILLS,AGOURA HILLS,1,2020-03-23
AGOURA HILLS,AGOURA HILLS,3,2020-03-24
AGOURA HILLS,AGOURA HILLS,3,2020-03-25
AGOURA HILLS,AGOURA HILLS,5,2020-03-26
AGOURA HILLS,AGOURA HILLS,6,2020-03-27
AGOURA HILLS,AGOURA HILLS,9,2020-03-28
ALHAMBRA,ALHAMBRA,1,2020-03-17
ALHAMBRA,ALHAMBRA,1,2020-03-18
ALHAMBRA,ALHAMBRA,2,2020-03-19
ALHAMBRA,ALHAMBRA,3,2020-03-20
ALHAMBRA,ALHAMBRA,3,2020-03-21
ALHAMBRA,ALHAMBRA,3,2020-03-22
ALHAMBRA,ALHAMBRA,4,2020-03-23
ALHAMBRA,ALHAMBRA,5,2020-03-24
ALHAMBRA,ALHAMBRA,6,2020-03-25
ALHAMBRA,ALHAMBRA,8,2020-03-26
ALHAMBRA,ALHAMBRA,8,2020-03-27
ALHAMBRA,ALHAMBRA,10,2020-03-28
ARCADIA,ARCADIA,1,2020-03-17
ARCADIA,ARCADIA,2,2020-03-18
ARCADIA,ARCADIA,2,2020-03-19
ARCADIA,ARCADIA,2,2020-03-20
ARCADIA,ARCADIA,2,2020-03-21
ARCADIA,ARCADIA,2,2020-03-22
ARCADIA,ARCADIA,3,2020-03-23
ARCADIA,ARCADIA,4,2020-03-24
ARCADIA,ARCADIA,4,2020-03-25
ARCADIA,ARCADIA,6,2020-03-26
ARCADIA,ARCADIA,6,2020-03-27
ARCADIA,ARCADIA,8,2020-03-28
ARTESIA,ARTESIA,NA,2020-03-27
ARTESIA,ARTESIA,NA,2020-03-28
AVALON,AVALON,0,2020-03-27
AVALON,AVALON,0,2020-03-28
AZUSA,AZUSA,1,2020-03-26
AZUSA,AZUSA,1,2020-03-27
AZUSA,AZUSA,1,2020-03-28
BALDWIN PARK,BALDWIN PARK,0,2020-03-27
BALDWIN PARK,BALDWIN PARK,0,2020-03-28
BELL,BELL,2,2020-03-26
BELL,BELL,4,2020-03-27
BELL,BELL,5,2020-03-28
BELL GARDENS,BELL GARDENS,3,2020-03-25
BELL GARDENS,BELL GARDENS,3,2020-03-26
BELL GARDENS,BELL GARDENS,1,2020-03-27
BELL GARDENS,BELL GARDENS,1,2020-03-28
BELLFLOWER,BELLFLOWER,1,2020-03-22
BELLFLOWER,BELLFLOWER,3,2020-03-23
BELLFLOWER,BELLFLOWER,3,2020-03-24
BELLFLOWER,BELLFLOWER,7,2020-03-25
BELLFLOWER,BELLFLOWER,8,2020-03-26
BELLFLOWER,BELLFLOWER,10,2020-03-27
BELLFLOWER,BELLFLOWER,12,2020-03-28
BEVERLY HILLS,BEVERLY HILLS,1,2020-03-17
BEVERLY HILLS,BEVERLY HILLS,4,2020-03-18
BEVERLY HILLS,BEVERLY HILLS,4,2020-03-19
BEVERLY HILLS,BEVERLY HILLS,5,2020-03-20
BEVERLY HILLS,BEVERLY HILLS,7,2020-03-21
BEVERLY HILLS,BEVERLY HILLS,8,2020-03-22
BEVERLY HILLS,BEVERLY HILLS,12,2020-03-23
BEVERLY HILLS,BEVERLY HILLS,12,2020-03-24
BEVERLY HILLS,BEVERLY HILLS,13,2020-03-25
BEVERLY HILLS,BEVERLY HILLS,15,2020-03-26
BEVERLY HILLS,BEVERLY HILLS,21,2020-03-27
BEVERLY HILLS,BEVERLY HILLS,21,2020-03-28
BRADBURY,BRADBURY,0,2020-03-27
BRADBURY,BRADBURY,0,2020-03-28
BURBANK,BURBANK,1,2020-03-19
BURBANK,BURBANK,1,2020-03-20
BURBANK,BURBANK,1,2020-03-21
BURBANK,BURBANK,2,2020-03-22
BURBANK,BURBANK,2,2020-03-23
BURBANK,BURBANK,2,2020-03-24
BURBANK,BURBANK,3,2020-03-25
BURBANK,BURBANK,6,2020-03-26
BURBANK,BURBANK,7,2020-03-27
BURBANK,BURBANK,17,2020-03-28
CALABASAS,CALABASAS,1,2020-03-19
CALABASAS,CALABASAS,1,2020-03-20
CALABASAS,CALABASAS,1,2020-03-21
CALABASAS,CALABASAS,2,2020-03-22
CALABASAS,CALABASAS,3,2020-03-23
CALABASAS,CALABASAS,4,2020-03-24
CALABASAS,CALABASAS,4,2020-03-25
CALABASAS,CALABASAS,5,2020-03-26
CALABASAS,CALABASAS,7,2020-03-27
CALABASAS,CALABASAS,10,2020-03-28
CARSON,CARSON,1,2020-03-17
CARSON,CARSON,1,2020-03-18
CARSON,CARSON,1,2020-03-19
CARSON,CARSON,3,2020-03-20
CARSON,CARSON,3,2020-03-21
CARSON,CARSON,4,2020-03-22
CARSON,CARSON,6,2020-03-23
CARSON,CARSON,8,2020-03-24
CARSON,CARSON,9,2020-03-25
CARSON,CARSON,21,2020-03-26
CARSON,CARSON,21,2020-03-27
CARSON,CARSON,26,2020-03-28
CERRITOS,CERRITOS,1,2020-03-21
CERRITOS,CERRITOS,2,2020-03-22
CERRITOS,CERRITOS,2,2020-03-23
CERRITOS,CERRITOS,2,2020-03-24
CERRITOS,CERRITOS,2,2020-03-25
CERRITOS,CERRITOS,2,2020-03-26
CERRITOS,CERRITOS,1,2020-03-27
CERRITOS,CERRITOS,1,2020-03-28
CLAREMONT,CLAREMONT,1,2020-03-24
CLAREMONT,CLAREMONT,1,2020-03-25
CLAREMONT,CLAREMONT,1,2020-03-26
CLAREMONT,CLAREMONT,1,2020-03-27
CLAREMONT,CLAREMONT,1,2020-03-28
COMMERCE,COMMERCE,0,2020-03-27
COMMERCE,COMMERCE,0,2020-03-28
COMPTON,COMPTON,1,2020-03-23
