region,community,cases,date
AGOURA HILLS,AGOURA HILLS,1,2020-03-23
AGOURA HILLS,AGOURA HILLS,3,2020-03-24
AGOURA HILLS,AGOURA HILLS,3,2020-03-25
AGOURA HILLS,AGOURA HILLS,5,2020-03-26
AGOURA HILLS,AGOURA HILLS,6,2020-03-27
AGOURA HILLS,AGOURA HILLS,9,2020-03-28
AGOURA HILLS,AGOURA HILLS,9,2020-03-29
AGOURA HILLS,AGOURA HILLS,9,2020-03-30
AGOURA HILLS,AGOURA HILLS,11,2020-03-31
AGOURA HILLS,AGOURA HILLS,10,2020-04-01
AGOURA HILLS,AGOURA HILLS,14,2020-04-02
AGOURA HILLS,AGOURA HILLS,16,2020-04-03
AGOURA HILLS,AGOURA HILLS,17,2020-04-04
AGOURA HILLS,AGOURA HILLS,18,2020-04-05
ALHAMBRA,ALHAMBRA,2,2020-03-16
ALHAMBRA,ALHAMBRA,1,2020-03-17
ALHAMBRA,ALHAMBRA,1,2020-03-18
ALHAMBRA,ALHAMBRA,2,2020-03-19
ALHAMBRA,ALHAMBRA,3,2020-03-20
ALHAMBRA,ALHAMBRA,3,2020-03-21
ALHAMBRA,ALHAMBRA,3,2020-03-22
ALHAMBRA,ALHAMBRA,4,2020-03-23
ALHAMBRA,ALHAMBRA,5,2020-03-24
ALHAMBRA,ALHAMBRA,6,2020-03-25
ALHAMBRA,ALHAMBRA,8,2020-03-26
ALHAMBRA,ALHAMBRA,8,2020-03-27
ALHAMBRA,ALHAMBRA,10,2020-03-28
ALHAMBRA,ALHAMBRA,10,2020-03-29
ALHAMBRA,ALHAMBRA,11,2020-03-30
ALHAMBRA,ALHAMBRA,13,2020-03-31
ALHAMBRA,ALHAMBRA,13,2020-04-01
ALHAMBRA,ALHAMBRA,15,2020-04-02
ALHAMBRA,ALHAMBRA,17,2020-04-03
ALHAMBRA,ALHAMBRA,19,2020-04-04
ALHAMBRA,ALHAMBRA,21,2020-04-05
ARCADIA,ARCADIA,1,2020-03-16
ARCADIA,ARCADIA,1,2020-03-17
ARCADIA,ARCADIA,2,2020-03-18
ARCADIA,ARCADIA,2,2020-03-19
ARCADIA,ARCADIA,2,2020-03-20
ARCADIA,ARCADIA,2,2020-03-21
ARCADIA,ARCADIA,2,2020-03-22
ARCADIA,ARCADIA,3,2020-03-23
ARCADIA,ARCADIA,4,2020-03-24
ARCADIA,ARCADIA,4,2020-03-25
ARCADIA,ARCADIA,6,2020-03-26
ARCADIA,ARCADIA,6,2020-03-27
ARCADIA,ARCADIA,8,2020-03-28
ARCADIA,ARCADIA,9,2020-03-29
ARCADIA,ARCADIA,9,2020-03-30
ARCADIA,ARCADIA,10,2020-03-31
ARCADIA,ARCADIA,12,2020-04-01
ARCADIA,ARCADIA,12,2020-04-02
ARCADIA,ARCADIA,13,2020-04-03
ARCADIA,ARCADIA,13,2020-04-04
ARCADIA,ARCADIA,14,2020-04-05
ARTESIA,ARTESIA,NA,2020-03-27
ARTESIA,ARTESIA,NA,2020-03-28
ARTESIA,ARTESIA,NA,2020-03-29
ARTESIA,ARTESIA,NA,2020-03-30
ARTESIA,ARTESIA,NA,2020-03-31
ARTESIA,ARTESIA,NA,2020-04-01
ARTESIA,ARTESIA,NA,2020-04-02
ARTESIA,ARTESIA,NA,2020-04-03
ARTESIA,ARTESIA,NA,2020-04-04
ARTESIA,ARTESIA,NA,2020-04-05
AVALON,AVALON,0,2020-03-27
AVALON,AVALON,0,2020-03-28
AVALON,AVALON,0,2020-03-29
AVALON,AVALON,0,2020-03-30
AVALON,AVALON,0,2020-03-31
AVALON,AVALON,0,2020-04-01
AVALON,AVALON,0,2020-04-02
AVALON,AVALON,0,2020-04-03
AVALON,AVALON,0,2020-04-04
AVALON,AVALON,0,2020-04-05
AZUSA,AZUSA,1,2020-03-26
AZUSA,AZUSA,1,2020-03-27
AZUSA,AZUSA,1,2020-03-28
AZUSA,AZUSA,2,2020-03-29
AZUSA,AZUSA,3,2020-03-30
AZUSA,AZUSA,5,2020-03-31
AZUSA,AZUSA,7,2020-04-01
AZUSA,AZUSA,8,2020-04-02
AZUSA,AZUSA,8,2020-04-03
AZUSA,AZUSA,8,2020-04-04
AZUSA,AZUSA,13,2020-04-05
BALDWIN PARK,BALDWIN PARK,0,2020-03-27
BALDWIN PARK,BALDWIN PARK,0,2020-03-28
BALDWIN PARK,BALDWIN PARK,0,2020-03-29
BALDWIN PARK,BALDWIN PARK,0,2020-03-30
BALDWIN PARK,BALDWIN PARK,2,2020-03-31
BALDWIN PARK,BALDWIN PARK,3,2020-04-01
BALDWIN PARK,BALDWIN PARK,5,2020-04-02
BALDWIN PARK,BALDWIN PARK,7,2020-04-03
BALDWIN PARK,BALDWIN PARK,9,2020-04-04
BALDWIN PARK,BALDWIN PARK,10,2020-04-05
BELL,BELL,2,2020-03-26
BELL,BELL,4,2020-03-27
BELL,BELL,5,2020-03-28
BELL,BELL,6,2020-03-29
BELL,BELL,11,2020-03-30
BELL,BELL,12,2020-03-31
BELL,BELL,12,2020-04-01
BELL,BELL,14,2020-04-02
BELL,BELL,14,2020-04-03
BELL,BELL,16,2020-04-04
BELL,BELL,20,2020-04-05
BELL GARDENS,BELL GARDENS,3,2020-03-25
BELL GARDENS,BELL GARDENS,3,2020-03-26
BELL GARDENS,BELL GARDENS,1,2020-03-27
BELL GARDENS,BELL GARDENS,1,2020-03-28
BELL GARDENS,BELL GARDENS,1,2020-03-29
BELL GARDENS,BELL GARDENS,2,2020-03-30
BELL GARDENS,BELL GARDENS,4,2020-03-31
