date,region,community,cases
2020-03-30,NA,AGOURA HILLS,9
2020-03-30,NA,ALHAMBRA,11
2020-03-30,NA,ARCADIA,9
2020-03-30,NA,ARTESIA,NA
2020-03-30,NA,AVALON,0
2020-03-30,NA,AZUZA,3
2020-03-30,NA,BALDWIN PARK,0
2020-03-30,NA,BELL,11
2020-03-30,NA,BELL GARDENS,2
2020-03-30,NA,BELLFLOWER,17
2020-03-30,NA,BEVERLY HILLS,28
2020-03-30,NA,BRADBURY,0
2020-03-30,NA,BURBANK,21
2020-03-30,NA,CALABASAS,11
2020-03-30,NA,CARSON,35
2020-03-30,NA,CERRITOS,5
2020-03-30,NA,CLAREMONT,1
2020-03-30,NA,COMMERCE,NA
2020-03-30,NA,COMPTON,13
2020-03-30,NA,COVINA,8
2020-03-30,NA,CUDAHY,NA
2020-03-30,NA,CULVER CITY,14
2020-03-30,NA,DIAMOND BAR,3
2020-03-30,NA,DOWNEY,25
2020-03-30,NA,DUARTE,NA
2020-03-30,NA,EL MONTE,1
2020-03-30,NA,EL SEGUNDO,NA
2020-03-30,NA,GARDENA,7
2020-03-30,NA,GLENDALE,62
2020-03-30,NA,GLENDORA,6
2020-03-30,NA,HAWAIIAN GARDENS,NA
2020-03-30,NA,HAWTHORNE,13
2020-03-30,NA,HERMOSA BEACH,7
2020-03-30,NA,HIDDEN HILLS,0
2020-03-30,NA,HUNTINGTON PARK,4
2020-03-30,NA,INDUSTRY,0
2020-03-30,NA,INGLEWOOD,26
2020-03-30,NA,IRWINDALE,0
2020-03-30,NA,LA CANADA FLINTRIDGE,8
2020-03-30,NA,LA HABRA HEIGHTS,0
2020-03-30,NA,LA MIRADA,7
2020-03-30,NA,LA PUENTE,3
2020-03-30,NA,LA VERNE,2
2020-03-30,NA,LAKEWOOD,13
2020-03-30,NA,LANCASTER,27
2020-03-30,NA,LAWNDALE,4
2020-03-30,NA,LOMITA,NA
2020-03-30,NA,LYNWOOD,16
2020-03-30,NA,MALIBU,NA
2020-03-30,NA,MANHATTAN BEACH,31
2020-03-30,NA,MAYWOOD,5
2020-03-30,NA,MONROVIA,4
2020-03-30,NA,MONTEBELLO,4
2020-03-30,NA,MONTEREY PARK,5
2020-03-30,NA,NORWALK,15
2020-03-30,NA,PALMDALE,9
2020-03-30,NA,PALOS VERDES ESTATES,14
2020-03-30,NA,PARAMOUNT,7
2020-03-30,NA,PICO RIVERA,6
2020-03-30,NA,POMONA,5
2020-03-30,NA,RANCHO PALOS VERDES,10
2020-03-30,NA,REDONDO BEACH,34
2020-03-30,NA,ROLLING HILLS,0
2020-03-30,NA,ROLLING HILLS ESTATES,NA
2020-03-30,NA,ROSEMEAD,2
2020-03-30,NA,SAN DIMAS,3
2020-03-30,NA,SAN FERNANDO,NA
2020-03-30,NA,SAN GABRIEL,6
2020-03-30,NA,SAN MARINO,NA
2020-03-30,NA,SANTA CLARITA,41
2020-03-30,NA,SANTA FE SPRINGS,0
2020-03-30,NA,SANTA MONICA,47
2020-03-30,NA,SIERRA MADRE,0
2020-03-30,NA,SIGNAL HILL,NA
2020-03-30,NA,SOUTH EL MONTE,0
2020-03-30,NA,SOUTH GATE,14
2020-03-30,NA,SOUTH PASADENA,5
2020-03-30,NA,TEMPLE CITY,1
2020-03-30,NA,TORRANCE,43
2020-03-30,NA,VERNON,0
2020-03-30,NA,WALNUT,3
2020-03-30,NA,WEST COVINA,7
2020-03-30,NA,WEST HOLLYWOOD,53
2020-03-30,NA,WESTLAKE VILLAGE,0
2020-03-30,NA,WHITTIER,8
2020-03-30,LOS ANGELES,ADAMS-NORMANDIE,NA
2020-03-30,LOS ANGELES,ALSACE,NA
2020-03-30,LOS ANGELES,ANGELES NATIONAL FOREST,0
2020-03-30,LOS ANGELES,ANGELINO HEIGHTS,0
2020-03-30,LOS ANGELES,ARLETA,5
2020-03-30,LOS ANGELES,ATWATER VILLAGE,NA
2020-03-30,LOS ANGELES,BALDWIN HILLS,9
2020-03-30,LOS ANGELES,BEL AIR,9
2020-03-30,LOS ANGELES,BEVERLY CREST,19
2020-03-30,LOS ANGELES,BEVERLYWOOD,11
2020-03-30,LOS ANGELES,BOYLE HEIGHTS,11
2020-03-30,LOS ANGELES,BRENTWOOD,34
2020-03-30,LOS ANGELES,BROOKSIDE,0
2020-03-30,LOS ANGELES,CADILLAC-CORNING,NA
2020-03-30,LOS ANGELES,CANOGA PARK,4
2020-03-30,LOS ANGELES,CARTHAY,15
2020-03-30,LOS ANGELES,CENTRAL,6
2020-03-30,LOS ANGELES,CENTURY CITY,9
2020-03-30,LOS ANGELES,CENTURY PALMS/COVE,8
2020-03-30,LOS ANGELES,CHATSWORTH,10
2020-03-30,LOS ANGELES,CHEVIOT HILLS,5
2020-03-30,LOS ANGELES,CHINATOWN,0
2020-03-30,LOS ANGELES,CLOVERDALE/COCHRAN,NA
2020-03-30,LOS ANGELES,COUNTRY CLUB PARK,NA
2020-03-30,LOS ANGELES,CRENSHAW DISTRICT,NA
2020-03-30,LOS ANGELES,CRESTVIEW,13
2020-03-30,LOS ANGELES,DEL REY,14
2020-03-30,LOS ANGELES,DOWNTOWN,11
2020-03-30,LOS ANGELES,EAGLE ROCK,8
2020-03-30,LOS ANGELES,EAST HOLLYWOOD,10
2020-03-30,LOS ANGELES,ECHO PARK,5
2020-03-30,LOS ANGELES,EL SERENO,3
2020-03-30,LOS ANGELES,ELYSIAN PARK,NA
2020-03-30,LOS ANGELES,ELYSIAN VALLEY,NA
2020-03-30,LOS ANGELES,ENCINO,29
2020-03-30,LOS ANGELES,EXPOSITION,0
2020-03-30,LOS ANGELES,EXPOSITION PARK,4
2020-03-30,LOS ANGELES,FAIRCREST HEIGHTS,0
2020-03-30,LOS ANGELES,FIGUEROA PARK SQUARE,0
2020-03-30,LOS ANGELES,FLORENCE-FIRESTONE,7
2020-03-30,LOS ANGELES,GLASSELL PARK,8
2020-03-30,LOS ANGELES,GRAMERCY PLACE,NA
2020-03-30,LOS ANGELES,GRANADA HILLS,9
2020-03-30,LOS ANGELES,GREEN MEADOWS,NA
2020-03-30,LOS ANGELES,HANCOCK PARK,26
2020-03-30,LOS ANGELES,HARBOR CITY,4
2020-03-30,LOS ANGELES,HARBOR GATEWAY,6
2020-03-30,LOS ANGELES,HARBOR PINES,0
2020-03-30,LOS ANGELES,HARVARD HEIGHTS,NA
2020-03-30,LOS ANGELES,HARVARD PARK,3
2020-03-30,LOS ANGELES,HIGHLAND PARK,9
2020-03-30,LOS ANGELES,HISTORIC FILIPINOTOWN,0
2020-03-30,LOS ANGELES,HOLLYWOOD,49
2020-03-30,LOS ANGELES,HOLLYWOOD HILLS,26
2020-03-30,LOS ANGELES,HYDE PARK,6
2020-03-30,LOS ANGELES,JEFFERSON PARK,0
2020-03-30,LOS ANGELES,KOREATOWN,13
2020-03-30,LOS ANGELES,LAFAYETTE SQUARE,NA
2020-03-30,LOS ANGELES,LAKE BALBOA,11
2020-03-30,LOS ANGELES,LAKEVIEW TERRACE,NA
2020-03-30,LOS ANGELES,LEIMERT PARK,NA
2020-03-30,LOS ANGELES,LINCOLN HEIGHTS,2
2020-03-30,LOS ANGELES,LITTLE ARMENIA,0
2020-03-30,LOS ANGELES,LITTLE BANGLADESH,5
2020-03-30,LOS ANGELES,LITTLE TOKYO,NA
2020-03-30,LOS ANGELES,LONGWOOD,NA
2020-03-30,LOS ANGELES,LOS FELIZ,11
2020-03-30,LOS ANGELES,MANCHESTER SQUARE,NA
2020-03-30,LOS ANGELES,MANDEVILLE CANYON,NA
2020-03-30,LOS ANGELES,MAR VISTA,13
2020-03-30,LOS ANGELES,MARINA PENINSULA,NA
2020-03-30,LOS ANGELES,MELROSE,82
2020-03-30,LOS ANGELES,MID-CITY,10
